AuthorID,Author,Date,Content,Attachments,Reactions
"550449409897267214","George E#7769","04-Aug-22 07:30 PM","Video: https://www.youtube.com/watch?v=gXzD4p3TR2A&t=233s

```
""In the name of Max Fosh, dish out the fish""

That’s all you need to spout

Exactly who to ask and how?

Just use my vid to find out

To claim the precious trout

Neighbour on the bus or a dear old queen

With the possibility the world is packed

But the keeper of the secret is not close to Max

And that’s beyond a fact

Dance in a crazy way, use a squeaky voice

Post on TikTok videos?

No need to spam or guess or stir things up

Just copy what this silly song shows
```

^ The video had some typos but the TikTok didn't. This reflects the _correct_ lyrics.","","ShyCato (17),👀 (27),👏 (12),🇸 (16),🇺 (17),5️⃣ (15),🛒 (8),mou (13),londontothemax (11),🇬🇧 (11),Walt (3),catstare (3),catdead (6),ppOverheat (3),sadcat (3),thegrin (3),whitedot (2),👍 (3),❌ (2),🥶 (2)"
"323456628928282624","FuriousSyndrome#0001","05-Aug-22 02:57 AM",":foshsalute: Best of luck you guys, I know you got this!","","❤️ (30),🇳 (21),🇴 (18),❌ (12),👍 (9),🚭 (7),🐟 (13),😔 (6),Prayge (8),🇨🇦 (5),🇵 (3),🇪 (3),🇨 (4),🇦 (5),🇹 (3),🐱 (3),eggden (4),beans (2),fishfosh (1)"
"323456628928282624","FuriousSyndrome#0001","05-Aug-22 02:57 AM",":LTTM:","","🇲 (12),🇨 (9),🇩 (8),🇴 (8),🇬 (9),🇳 (8),🇦 (7),🇱 (9),🏳️‍🌈 (6),🇨🇦 (4),💃 (3),floshed (6),🥶 (2),groovin (5),🇺🇦 (2),🇫 (2),0️⃣ (3),🇷 (3),fishfosh (1)"
"323456628928282624","FuriousSyndrome#0001","05-Aug-22 04:32 PM","Guys this was a dead end heads up ❤️

-Eve","https://cdn.discordapp.com/attachments/1004802776448122920/1005121223648354446/IMG_5494.png","😭 (55),🇱 (26),fox (4),sad (5),🍞 (4),nmpHey (1),Cri (4),grrr (8),😂 (13),kekw (4),🤠 (2),🇼 (3),🇴 (7),🇬 (4),🇺🇦 (3),🇵 (5),🇷 (3),🅰️ (3),🇳 (5),🇰 (3)"
"469970820404609041","GEbb4#0001","05-Aug-22 09:50 PM","","https://cdn.discordapp.com/attachments/1004802776448122920/1005201133955989614/unknown.png","🤡 (24),🏳️‍🌈 (3),🥲 (4),😭 (7),💩 (2),👍 (5),grrr (1),pog (7),🇾 (2),🇪 (4),E_ (3),🇹 (2),🤔 (2),🇸 (3),🇺 (2),5️⃣ (2),FinnyThink (1),🇪🇪 (3),🚭 (4),🇬🇧 (5)"
"550449409897267214","George E#7769","06-Aug-22 06:33 PM","Updated comment

Direct link to comment: https://www.youtube.com/watch?v=gXzD4p3TR2A&lc=UgwHy5_wxW6IndYCIKh4AaABAg","https://cdn.discordapp.com/attachments/1004802776448122920/1005513989758926898/Screenshot_2022-08-06_at_17.33.14.png","💖 (27),sad (17),👍 (15),fox (11),🇭🇷 (8),🆑 (15),🇺 (16),🇪 (15),🇵 (14),🇱 (17),🇿 (15),dance (5),stomp (6),icantsee (6),foshsalute (5),foshmayor (5),tesco (8),pog (8),sus (5),proud (5)"
"550449409897267214","George E#7769","08-Aug-22 01:20 PM","The website is _finally_ confirmed as fake by Lightyear","https://cdn.discordapp.com/attachments/1004802776448122920/1006159915284451348/unknown.png","👏 (40),🤩 (10),🤡 (4),pog (6),💯 (5),☝️ (4),upvote (9),⭐ (4),redherring (2),sus (3),grrr (1),👍 (3),😭 (3),🟧 (10),🇴 (1),🇷 (2),🇦 (1),🇳 (1),🇬 (1),🇪 (1)"
"550449409897267214","George E#7769","08-Aug-22 01:47 PM","Can confirm I also got the same response, so safe to say, ignore the website 👍 Plus, the website now admits itself as a troll.","https://cdn.discordapp.com/attachments/1004802776448122920/1006166657183514674/IMG_3737.png","👍 (35),sus (5),🇴 (5),🅾️ (5),🇫 (5),🇦🇹 (3),beans (3),🇨 (4),🇺 (4),Ⓜ️ (6),yorkgold (2),huh (1)"
"763153740630065192","Cj#8924","09-Aug-22 06:49 PM","Max has done an interview about the Hunt! https://mysteriouswritings.com/six-questions-with-max-fosh-on-the-100000-treasure-hunt-for-the-goldfosh/","","🇧 (24),🇦 (21),🇸 (21),🇪 (24),🇩 (22),hype (9),🟧 (9),🇦🇹 (5),Muffin (4),🇼 (5),🇴 (4),🅾️ (4),⭕ (5),🤓 (5),🍞 (3),🤯 (2),🤡 (2),pog (1)"
"323456628928282624","FuriousSyndrome#0001","10-Aug-22 04:56 PM","Reminder we are looking for this:","","👍 (39),🟧 (20),🦄 (6),redherring (6),🧬 (4),⚰️ (2),⬛ (2),fishfosh (17),🇨 (2),🇴 (2),🇬 (6),🇰 (3),💀 (2),proud (1),🤯 (1),rickroll (2)"
"323456628928282624","FuriousSyndrome#0001","10-Aug-22 04:56 PM",":fishfosh:","","fishfosh (85),redherring (1),rickroll (6),bananana (3),🍞 (3),kekw (3),🇲🇦 (1),sus (1),pog (4),upvote (3),proud (1),🇵 (2),🇪 (2),🇳 (2),🇮 (2),🇸 (3),🤯 (1)"
"323456628928282624","FuriousSyndrome#0001","10-Aug-22 04:57 PM","(Jokes aside you guys got this don't give up! Stay hydrated and well fed and get some fresh air to ponder over the clues ❤️ )","","🇬 (10),🥤 (11),🇴 (9),🇱 (6),🇪 (5),🇹 (3),🌤️ (5),❤️ (16),😕 (7),foshsalute (6),💀 (2),🌊 (3),banhammer (1),rickroll (3),🇲🇦 (2),pog (4),🚰 (3),👍 (1),Muffin (1),😓 (1)"
